id,question,manual_answer,system_answer,cosine_similarity,llm_score,latency_seconds
1,Mục tiêu chính của nghiên cứu này là gì?,"Mục tiêu là đề xuất hệ thống lưu trữ và truy vấn tri thức từ tài liệu học thuật dựa trên Video QR Code và sơ đồ tư duy. Hệ thống giúp lưu trữ bền vững, tổ chức tri thức khoa học và hỗ trợ truy vấn ngữ nghĩa.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.4628,6.0,2.1
2,Video QR Code giải quyết vấn đề gì trong lưu trữ?,"Nó giải quyết vấn đề phụ thuộc nền tảng và bảo toàn dữ liệu lâu dài. Video QR Code hoạt động như một 'thiết bị lưu trữ' độc lập, có thể chia sẻ offline và khôi phục lại toàn bộ tri thức mà không cần server gốc.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.4441,6.0,5.55
3,Hệ thống sử dụng kỹ thuật gì để chia nhỏ văn bản?,"Hệ thống sử dụng kỹ thuật phân đoạn ngữ nghĩa (semantic chunking). Thay vì cắt theo kích thước cố định, nó phân tích độ tương đồng ngữ nghĩa giữa các câu để tìm điểm ngắt tự nhiên.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3692,7.0,5.45
4,Memory Tree có cấu trúc như thế nào?,"Memory Tree được tổ chức theo cấu trúc phân cấp gồm 3 cấp: Cấp Tài liệu (Document Level), Cấp Phần/Chương (Section Level), và Cấp Khái niệm (Concept Level).",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.305,6.0,2.07
5,Truy vấn ngữ nghĩa khác gì với tìm kiếm từ khóa?,"Truy vấn ngữ nghĩa hiểu ý nghĩa và ngữ cảnh của câu hỏi, không phụ thuộc vào việc khớp từ khóa chính xác. Nó có thể tìm được nội dung liên quan ngay cả khi không dùng từ ngữ giống hệt trong tài liệu.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.4194,6.0,5.46
6,Ba vấn đề chính mà nghiên cứu này nhắm tới giải quyết là gì?,Lưu trữ tri thức bền vững; Tổ chức tri thức hiệu quả dưới dạng cấu trúc cây; và Truy vấn thông minh dựa trên ngữ nghĩa.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3724,6.0,2.11
7,Tại sao người học gặp khó khăn với tài liệu học thuật dài?,"Vì khối lượng kiến thức lớn, cấu trúc phức tạp, tốn thời gian đọc hiểu và khó ghi nhớ mối quan hệ giữa các phần.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3926,7.0,2.11
8,Video QR Code chứa những thông tin gì?,"Mỗi QR code trong video chứa: Metadata (ID, thứ tự, timestamp) và Nội dung văn bản của chunk (hoặc sub-chunk).",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3272,6.0,2.11
9,Hệ thống xử lý file PDF như thế nào?,"Sử dụng thư viện chuyên dụng để đọc văn bản, giữ nguyên thứ tự và cấu trúc nội dung, đồng thời xử lý các trường hợp có hình ảnh hoặc bảng biểu.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3554,6.0,2.08
10,Làm thế nào hệ thống xử lý các chunk văn bản quá dài so với dung lượng QR Code?,"Hệ thống tự động chia chunk lớn thành các sub-chunk nhỏ hơn, đánh số thứ tự và liên kết chúng qua parent_id để có thể ghép lại sau này.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3912,7.0,2.1
11,Vector embedding được sử dụng để làm gì trong hệ thống?,"Để biểu diễn ngữ nghĩa của văn bản dưới dạng số học đa chiều, phục vụ cho việc tính toán độ tương đồng, gom nhóm (clustering) và tìm kiếm ngữ nghĩa.",Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.3367,6.0,2.11
12,Frame rate của Video QR Code là bao nhiêu và tại sao?,Frame rate là 1 khung hình/giây (1 fps). Tốc độ này giúp việc quét hoặc giải mã lại video trở nên dễ dàng và chính xác hơn.,Không tìm thấy dữ liệu phù hợp trong file đã chọn.,0.4216,7.0,2.1
